"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"64","geneComp_00035133","ZNF844","ZNF844","normal","tumor",3.29680858224565e-06,TRUE,33
"66","geneComp_00005542","DYM","DYM","normal","tumor",3.93991760344326e-06,TRUE,34
"68","geneComp_00005168","DMGDH","DMGDH","normal","tumor",4.14019689170343e-06,TRUE,35
"70","geneComp_00004998","DFFA","DFFA","normal","tumor",4.45500350020809e-06,TRUE,36
"72","geneComp_00017681","GUSBP1","GUSBP1","normal","tumor",6.26413463197068e-06,TRUE,37
"75","geneComp_00001359","ASB13","ASB13","normal","tumor",7.26590671677822e-06,TRUE,38
"77","geneComp_00024862","OSBPL9","OSBPL9","normal","tumor",7.26590671677822e-06,TRUE,39
"79","geneComp_00022008","LSP1","LSP1","normal","tumor",8.35354178065945e-06,TRUE,40
"81","geneComp_00032144","TMED4","TMED4","normal","tumor",8.67780699711906e-06,TRUE,41
"83","geneComp_00002082","BSG","BSG","normal","tumor",1.29923845147587e-05,TRUE,42
"85","geneComp_00015317","ENSG00000291032","ENSG00000291032","normal","tumor",1.33361391266294e-05,TRUE,43
"87","geneComp_00020110","LAYN","LAYN","normal","tumor",1.33361391266294e-05,TRUE,44
"88","geneComp_00030828","SPIN3","SPIN3","normal","tumor",1.71037374495609e-05,TRUE,45
"89","geneComp_00016328","FGF13","FGF13","normal","tumor",1.72781229758959e-05,TRUE,46
"90","geneComp_00017640","GTF2IRD2","GTF2IRD2","normal","tumor",1.72781229758959e-05,TRUE,47
"91","geneComp_00030582","SNX1","SNX1","normal","tumor",2.23208625932045e-05,TRUE,48
"92","geneComp_00018669","IFT27","IFT27","normal","tumor",3.20586804869395e-05,TRUE,49
"94","geneComp_00001330","ARSD","ARSD","normal","tumor",3.24402799998209e-05,TRUE,50
"96","geneComp_00034886","ZNF564","ZNF564","normal","tumor",3.28148735547054e-05,TRUE,51
"97","geneComp_00002821","CCDC157","CCDC157","normal","tumor",3.40972753224158e-05,TRUE,52
"98","geneComp_00004077","COLCA1","COLCA1","normal","tumor",3.90891755542654e-05,TRUE,53
"99","geneComp_00005183","DMWD","DMWD","normal","tumor",3.90891755542654e-05,TRUE,54
