"","gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","switchConsequencesGene","Rank"
"429","geneComp_00001812","BCL2L11","BCL2L11","normal","tumor",0.0166370306592773,TRUE,289
"430","geneComp_00001050","APOBEC3F","APOBEC3F","normal","tumor",0.0167637705602946,TRUE,290
"431","geneComp_00019173","INTU","INTU","normal","tumor",0.0169027589886057,TRUE,291
"432","geneComp_00000294","ACYP2","ACYP2","normal","tumor",0.0172024082946766,TRUE,292
"433","geneComp_00024585","OGFOD3","OGFOD3","normal","tumor",0.0172039397998842,TRUE,293
"434","geneComp_00017601","GSTM4","GSTM4","normal","tumor",0.0174643841577178,TRUE,294
"436","geneComp_00031636","TBRG4","TBRG4","normal","tumor",0.0175398575957026,TRUE,295
"437","geneComp_00024590","OGG1","OGG1","normal","tumor",0.0178114616582101,TRUE,296
"438","geneComp_00029822","SLC1A4","SLC1A4","normal","tumor",0.0179111940997654,TRUE,297
"439","geneComp_00021933","LRRC4C","LRRC4C","normal","tumor",0.0183142048482031,TRUE,298
"440","geneComp_00028840","RPUSD1","RPUSD1","normal","tumor",0.0183142048482031,TRUE,299
"441","geneComp_00002581","CAMK2B","CAMK2B","normal","tumor",0.0186946310323906,TRUE,300
"442","geneComp_00002001","BOD1","BOD1","normal","tumor",0.0187189898836325,TRUE,301
"443","geneComp_00026806","PSMG3-AS1","PSMG3-AS1","normal","tumor",0.0187482939771807,TRUE,302
"444","geneComp_00016073","FAM88B","FAM88B","normal","tumor",0.0187534018937667,TRUE,303
"445","geneComp_00016251","FCGR2A","FCGR2A","normal","tumor",0.0187534018937667,TRUE,304
"446","geneComp_00034341","ZBTB49","ZBTB49","normal","tumor",0.0187534018937667,TRUE,305
"447","geneComp_00020293","LIN54","LIN54","normal","tumor",0.0187857374086463,TRUE,306
"448","geneComp_00029049","SAMD15","SAMD15","normal","tumor",0.0188137000214167,TRUE,307
"450","geneComp_00000706","ALKBH4","ALKBH4","normal","tumor",0.0196246673517547,TRUE,308
"452","geneComp_00023194","MST1","MST1","normal","tumor",0.0198865428686726,TRUE,309
"453","geneComp_00026575","PRMT5","PRMT5","normal","tumor",0.0201513401128021,TRUE,310
"454","geneComp_00001521","ATP2B1","ATP2B1","normal","tumor",0.0201961740806999,TRUE,311
"455","geneComp_00019699","KIF22","KIF22","normal","tumor",0.0204947341050417,TRUE,312
"456","geneComp_00023584","NAF1","NAF1","normal","tumor",0.0207484066714487,TRUE,313
"457","geneComp_00022533","MELTF","MELTF","normal","tumor",0.0207796988054401,TRUE,314
"459","geneComp_00032124","TMC8","TMC8","normal","tumor",0.0207796988054401,TRUE,315
"460","geneComp_00015677","ETFDH","ETFDH","normal","tumor",0.0208914812438859,TRUE,316
"461","geneComp_00015689","ETV4","ETV4","normal","tumor",0.0209097240550027,TRUE,317
"462","geneComp_00026801","PSME4","PSME4","normal","tumor",0.0209417562312666,TRUE,318
"463","geneComp_00017145","GLRX2","GLRX2","normal","tumor",0.0211043441246383,TRUE,319
"465","geneComp_00034916","ZNF587","ZNF587","normal","tumor",0.0215178031346864,TRUE,320
"466","geneComp_00005894","ELAPOR2","ELAPOR2","normal","tumor",0.0221039676807007,TRUE,321
"467","geneComp_00003772","CLCN3","CLCN3","normal","tumor",0.0222764788336189,TRUE,322
"468","geneComp_00019549","KCNMB3","KCNMB3","normal","tumor",0.0224937407031673,TRUE,323
"469","geneComp_00025500","PEX26","PEX26","normal","tumor",0.0225655508088521,TRUE,324
"470","geneComp_00003888","CLTRN","CLTRN","normal","tumor",0.0228043737036558,TRUE,325
"472","geneComp_00032885","TRIB3","TRIB3","normal","tumor",0.0233768054783969,TRUE,326
"474","geneComp_00015572","ERBB3","ERBB3","normal","tumor",0.0235715768321589,TRUE,327
"475","geneComp_00026615","PRPF38A","PRPF38A","normal","tumor",0.0235715768321589,TRUE,328
"476","geneComp_00000398","ADGRF1","ADGRF1","normal","tumor",0.0237812569302078,TRUE,329
"477","geneComp_00016155","FBLN2","FBLN2","normal","tumor",0.0239791285068878,TRUE,330
"479","geneComp_00032954","TRIM7-AS2","TRIM7-AS2","normal","tumor",0.0243524264374835,TRUE,331
"480","geneComp_00017294","GOLM2","GOLM2","normal","tumor",0.0244024677078109,TRUE,332
"481","geneComp_00027673","RIN2","RIN2","normal","tumor",0.0244992525726761,TRUE,333
"482","geneComp_00032276","TMEM209","TMEM209","normal","tumor",0.0245108160437436,TRUE,334
"484","geneComp_00019545","KCNMA1","KCNMA1","normal","tumor",0.0247743750921743,TRUE,335
"485","geneComp_00002790","CCDC120","CCDC120","normal","tumor",0.0248682219919704,TRUE,336
"486","geneComp_00027958","RNF180","RNF180","normal","tumor",0.0249969505908865,TRUE,337
"488","geneComp_00018364","HPGD","HPGD","normal","tumor",0.0250725752162151,TRUE,338
"489","geneComp_00033425","UBE3B","UBE3B","normal","tumor",0.0250725752162151,TRUE,339
"490","geneComp_00005948","ELP4","ELP4","normal","tumor",0.0253100791323252,TRUE,340
"491","geneComp_00030363","SMTN","SMTN","normal","tumor",0.0253100791323252,TRUE,341
"492","geneComp_00016194","FBXO22","FBXO22","normal","tumor",0.0253672573361726,TRUE,342
"494","geneComp_00016256","FCGRT","FCGRT","normal","tumor",0.0259013484190738,TRUE,343
"495","geneComp_00030152","SLC7A7","SLC7A7","normal","tumor",0.0262072826819765,TRUE,344
"496","geneComp_00002350","C2orf49","C2orf49","normal","tumor",0.0262310032145131,TRUE,345
"498","geneComp_00029421","SERPINA1","SERPINA1","normal","tumor",0.026263699964322,TRUE,346
"499","geneComp_00001157","ARHGAP26","ARHGAP26","normal","tumor",0.0262798029282977,TRUE,347
"500","geneComp_00004287","CRELD1","CRELD1","normal","tumor",0.0267026240067529,TRUE,348
"502","geneComp_00017074","GIPC3","GIPC3","normal","tumor",0.0267026240067529,TRUE,349
"504","geneComp_00016564","FOXO3B","FOXO3B","normal","tumor",0.0270181860984706,TRUE,350
"505","geneComp_00024270","NQO2","NQO2","normal","tumor",0.0271548087539793,TRUE,351
"506","geneComp_00019417","JUND","JUND","normal","tumor",0.0272435298493913,TRUE,352
"508","geneComp_00016054","FAM83F","FAM83F","normal","tumor",0.0273139147673431,TRUE,353
"509","geneComp_00000521","AGFG2","AGFG2","normal","tumor",0.0276700164582513,TRUE,354
"510","geneComp_00032071","TLN1","TLN1","normal","tumor",0.0282789943492405,TRUE,355
"511","geneComp_00005725","EFCAB11","EFCAB11","normal","tumor",0.0283203058872487,TRUE,356
"512","geneComp_00005005","DGCR5","DGCR5","normal","tumor",0.0284456822791612,TRUE,357
"513","geneComp_00017167","GLYR1","GLYR1","normal","tumor",0.0285861563891071,TRUE,358
"514","geneComp_00003540","CFLAR","CFLAR","normal","tumor",0.0292741319020652,TRUE,359
"515","geneComp_00029080","SARM1","SARM1","normal","tumor",0.0293128435316252,TRUE,360
"516","geneComp_00003259","CDK19","CDK19","normal","tumor",0.0297117768565948,TRUE,361
"517","geneComp_00023594","NALCN","NALCN","normal","tumor",0.0299439429294261,TRUE,362
"518","geneComp_00034569","ZNF142","ZNF142","normal","tumor",0.0305554107430057,TRUE,363
"520","geneComp_00000618","AKAP8L","AKAP8L","normal","tumor",0.0308513826912821,TRUE,364
"521","geneComp_00000146","ACACA","ACACA","normal","tumor",0.0309582952030444,TRUE,365
"522","geneComp_00030024","SLC36A4","SLC36A4","normal","tumor",0.0309582952030444,TRUE,366
"523","geneComp_00022588","METTL8","METTL8","normal","tumor",0.0310435047949665,TRUE,367
"524","geneComp_00003734","CIT","CIT","normal","tumor",0.0311708711844045,TRUE,368
"525","geneComp_00016303","FEZ1","FEZ1","normal","tumor",0.0313548218584929,TRUE,369
"526","geneComp_00001627","ATXN7L1","ATXN7L1","normal","tumor",0.0317225659446657,TRUE,370
"527","geneComp_00022567","METTL17","METTL17","normal","tumor",0.0319840769464317,TRUE,371
"528","geneComp_00005095","DIPK2B","DIPK2B","normal","tumor",0.0321311382770259,TRUE,372
"529","geneComp_00027515","RFC1","RFC1","normal","tumor",0.0321690509330951,TRUE,373
"530","geneComp_00022157","MAGI2","MAGI2","normal","tumor",0.032326696540616,TRUE,374
"531","geneComp_00001879","BFAR","BFAR","normal","tumor",0.0326230128546,TRUE,375
"533","geneComp_00031065","ST6GALNAC6","ST6GALNAC6","normal","tumor",0.0327169257910574,TRUE,376
"534","geneComp_00015741","EXOSC7","EXOSC7","normal","tumor",0.033426252885794,TRUE,377
"535","geneComp_00024487","NUP85","NUP85","normal","tumor",0.0338140151808185,TRUE,378
"536","geneComp_00034497","ZGLP1","ZGLP1","normal","tumor",0.0338712485885531,TRUE,379
"537","geneComp_00001199","ARHGEF19","ARHGEF19","normal","tumor",0.0344374199928776,TRUE,380
"538","geneComp_00018093","HIVEP2","HIVEP2","normal","tumor",0.0351897356965162,TRUE,381
"539","geneComp_00004895","DDX31","DDX31","normal","tumor",0.035804734247575,TRUE,382
"541","geneComp_00030125","SLC6A12","SLC6A12","normal","tumor",0.035804734247575,TRUE,383
"542","geneComp_00000812","ANKDD1A","ANKDD1A","normal","tumor",0.0360381375485192,TRUE,384
"543","geneComp_00023367","MUC1","MUC1","normal","tumor",0.036157336967426,TRUE,385
"544","geneComp_00032892","TRIM16L","TRIM16L","normal","tumor",0.0363947854600266,TRUE,386
"545","geneComp_00023664","NBEAL2","NBEAL2","normal","tumor",0.0364976968928943,TRUE,387
"546","geneComp_00027355","RBM19","RBM19","normal","tumor",0.0371030055168947,TRUE,388
"547","geneComp_00000282","ACTR8","ACTR8","normal","tumor",0.0371091443060251,TRUE,389
"548","geneComp_00034692","ZNF319","ZNF319","normal","tumor",0.0371231588887341,TRUE,390
"550","geneComp_00017702","GXYLT2","GXYLT2","normal","tumor",0.0371288394646333,TRUE,391
"552","geneComp_00023025","MRM3","MRM3","normal","tumor",0.0375840201929588,TRUE,392
"553","geneComp_00024563","ODAD3","ODAD3","normal","tumor",0.0379295306870373,TRUE,393
"555","geneComp_00005718","EEF2KMT","EEF2KMT","normal","tumor",0.0385519127446342,TRUE,394
"556","geneComp_00027656","RIGI","RIGI","normal","tumor",0.0385519127446342,TRUE,395
"557","geneComp_00025651","PHLDB3","PHLDB3","normal","tumor",0.0388542828271005,TRUE,396
"558","geneComp_00031951","THOC2","THOC2","normal","tumor",0.0390269568356017,TRUE,397
"559","geneComp_00002916","CCDC88C","CCDC88C","normal","tumor",0.0396540448800391,TRUE,398
"560","geneComp_00034424","ZEB1","ZEB1","normal","tumor",0.0397624685979753,TRUE,399
"561","geneComp_00015523","EPHA1","EPHA1","normal","tumor",0.0400643697440467,TRUE,400
"562","geneComp_00034685","ZNF300P1","ZNF300P1","normal","tumor",0.0401111342584401,TRUE,401
"563","geneComp_00032742","TRAPPC9","TRAPPC9","normal","tumor",0.0401608466117016,TRUE,402
"565","geneComp_00003465","CES2","CES2","normal","tumor",0.0406808612057899,TRUE,403
"566","geneComp_00035215","ZSCAN31","ZSCAN31","normal","tumor",0.0409080731405407,TRUE,404
"567","geneComp_00001850","BDP1","BDP1","normal","tumor",0.041867066765562,TRUE,405
"568","geneComp_00022683","MID1IP1","MID1IP1","normal","tumor",0.041867066765562,TRUE,406
"569","geneComp_00026868","PTGIR","PTGIR","normal","tumor",0.041867066765562,TRUE,407
"570","geneComp_00030167","SLC9A6","SLC9A6","normal","tumor",0.041867066765562,TRUE,408
"571","geneComp_00025833","PKNOX1","PKNOX1","normal","tumor",0.0419488802080573,TRUE,409
"572","geneComp_00015625","ERO1B","ERO1B","normal","tumor",0.0420931865234519,TRUE,410
"573","geneComp_00027659","RILPL1","RILPL1","normal","tumor",0.0423779737794785,TRUE,411
"574","geneComp_00024536","OAS1","OAS1","normal","tumor",0.0432388403014128,TRUE,412
"575","geneComp_00024021","NKAP","NKAP","normal","tumor",0.0435695228242803,TRUE,413
"576","geneComp_00017011","GFPT2","GFPT2","normal","tumor",0.043795826143851,TRUE,414
"577","geneComp_00016185","FBXL8","FBXL8","normal","tumor",0.0438109894580626,TRUE,415
"578","geneComp_00027999","RNF4","RNF4","normal","tumor",0.0439879771573843,TRUE,416
"579","geneComp_00031946","THG1L","THG1L","normal","tumor",0.0440937893549378,TRUE,417
"581","geneComp_00001061","APOD","APOD","normal","tumor",0.0441506250729305,TRUE,418
"582","geneComp_00022465","MECP2","MECP2","normal","tumor",0.0443586621819045,TRUE,419
"583","geneComp_00034722","ZNF35","ZNF35","normal","tumor",0.0443712729840319,TRUE,420
"584","geneComp_00015647","ESAM-AS1","ESAM-AS1","normal","tumor",0.0445861202364694,TRUE,421
"585","geneComp_00018648","IFNAR1","IFNAR1","normal","tumor",0.04464208787832,TRUE,422
"586","geneComp_00029379","SEPTIN1","SEPTIN1","normal","tumor",0.044845504533033,TRUE,423
"587","geneComp_00004029","COL12A1","COL12A1","normal","tumor",0.0449027700577712,TRUE,424
"588","geneComp_00024014","NISCH","NISCH","normal","tumor",0.0449083232884616,TRUE,425
"589","geneComp_00030065","SLC43A1","SLC43A1","normal","tumor",0.0450753095260626,TRUE,426
"590","geneComp_00022561","METTL14","METTL14","normal","tumor",0.0451799500088104,TRUE,427
"591","geneComp_00024209","NPIPB12","NPIPB12","normal","tumor",0.0458137540049947,TRUE,428
"592","geneComp_00022807","MIS12","MIS12","normal","tumor",0.0463956056879148,TRUE,429
"593","geneComp_00001842","BCS1L","BCS1L","normal","tumor",0.0468862331330633,TRUE,430
"594","geneComp_00019035","IL32","IL32","normal","tumor",0.0469203467075354,TRUE,431
"595","geneComp_00033350","UBA6-DT","UBA6-DT","normal","tumor",0.0474087825930692,TRUE,432
"596","geneComp_00004274","CREB1","CREB1","normal","tumor",0.048214205041751,TRUE,433
"597","geneComp_00017387","GPR146","GPR146","normal","tumor",0.048302796738385,TRUE,434
"598","geneComp_00021210","LINC02256","LINC02256","normal","tumor",0.0484797176309024,TRUE,435
"599","geneComp_00002058","BRICD5","BRICD5","normal","tumor",0.0495385708579028,TRUE,436
"600","geneComp_00029378","SEPSECS-AS1","SEPSECS-AS1","normal","tumor",0.0496400607471402,TRUE,437
